Environment,Algorithm,Run,Total_Revenue,Rounds_Completed,Final_Budget
Stochastic Multi Product,Combinatorial UCB,1,nan,345,0
Stochastic Multi Product,Combinatorial UCB,2,nan,700,-1
Stochastic Multi Product,Combinatorial UCB,3,nan,835,0
Stochastic Multi Product,Combinatorial UCB,4,nan,995,0
Stochastic Multi Product,Combinatorial UCB,5,nan,784,-1
Stochastic Multi Product,Combinatorial UCB,6,nan,374,0
Stochastic Multi Product,Combinatorial UCB,7,nan,818,0
Stochastic Multi Product,Combinatorial UCB,8,nan,649,0
Stochastic Multi Product,Combinatorial UCB,9,nan,758,-1
Stochastic Multi Product,Combinatorial UCB,10,nan,391,-1
